hotel_name,hotel_location,review_title,review_pos,review_neg,review_date,review_country,num_reviews_by_reviewer,reviewer_name,review_rating,review_tags,hussain_classification,jeremy_classification,automatic_classfication
Wink Capsule Hostel @ Downtown (SG Clean),"1.27971500,103.84760100",Superb,No Positive,No Negative,2020-01-24T00:00:00,Argentina,6,Nicolás,9.2,"Leisure trip,Solo traveller,1 Single Pod in 12 Pods Mixed Room,Stayed 4 nights,Submitted via mobile",1.0,1.0,1
Dream Hotel Bangkok - SHA Extra Plus Certified,"13.74065394,100.55874914",“Great Place and Fantastic Location & No complaints.”,"I apologise in advance if I don’t make any sense here, but I hardly do Reviews. 
Ok. As a Solo traveler I found this This Hotel very clean, confortable, Great staff, Good Breakfast buffet( *Quite a lift expensive for Thailand) I wish my Breakfast was complementary, and best of all the location. Located in Soi 15 and very close ( 10 minutes walking distance) to the  one of the popular Shopping Centres & Terminal 21 also close to Bangkok Most infamous SoiCowboy. 
The hotel reminded me of a four star Las Vegas Hotel. Planet Hollywood comes to mind! 
I really have No complaints and I’m willing to come back and stay there on my next trip. 
As a side Note:
Be aware that some of the Front desk staff are a little hesitant to take Debit cards, And will ask you for a Deposit that the Hotel will return on check out.","•The Staff is very Attentive.
•Close to the Best Nightlife Bangkok can offer. 
•You can bring guest. 
•They have a cozy pool, and a Gym. 
•Other Restaurants and a local gum( Tony’s fitness) located Nearby. 
Cheers!",2019-07-20T00:00:00,United States,3,Emmanuel,10.0,"Leisure trip,Solo traveller,Bronze King,Stayed 8 nights,Submitted via mobile",1.0,1.0,1
"Siam@Siam, Design Hotel Bangkok","13.74704502,100.52695692",“2 min from skytrain station. Quiet and beautiful hotel with comfy & quiet room.”,"The hotel is conveniently located - 2 min away from National Stadium Skytrain station. The hotel staff were very friendly and patient esp. the guy with black rimmed glasses at the reception (I forgot his name)..after checking in he gave us a lengthy intro to the restaurants in the area, sight seeing spots and transport info. I stayed in one of the Deluxe Twin Rooms. We got the room furthest from the elevator so it was pretty quiet :) Beds are really comfortable and the room itself and the washroom are quite spacious. OH! and the breakfast was amazing - the variety was great and it was a comfortable place to have breakfast. I will def come back again!","The only things I disliked and hope will be improved for other guests is that water was leaking from the bottom of the kettle and when I touched the metal part of the plug of the hairdryer after using, I felt an electric shock. Both combined or alone could be a serious hazard.",2019-11-14T00:00:00,Hong Kong,1,Jaime,9.0,"Leisure trip,Family with young children,Superior Room,Stayed 3 nights",1.0,1.0,1
Castle Black Bangkok,"13.75842945,100.54104621",Good,No Positive,No Negative,2020-01-29T00:00:00,Vietnam,5,Luan,7.5,"Leisure trip,Couple,Deluxe Double Room,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
FX Hotel Metrolink Makkasan,"13.74952532,100.56291461",“A really convenient and good place to stay!”,Staff really good and extremely helpful and pleasant! The breakfast  variety was excellent for me. Hot and cold food available.,Roadworks close by made for delays if using taxi. But closeness to MRT sort of made up for that.,2019-08-28T00:00:00,United Kingdom,4,Anonymous,9.6,"Solo traveller,Premier Double or Twin Room,Stayed 5 nights,Submitted via mobile",1.0,1.0,1
Toyoko Inn Osaka Namba Nishi,"34.66147900,135.49759100",Superb,No Positive,No Negative,2022-03-27T00:00:00,Japan,8,Janine,9.0,"Leisure trip,Solo traveller,Single Room - Non-Smoking,Stayed 1 night,Submitted via mobile",1.0,0.0,1
Citadines Balestier (SG Clean),"1.32101100,103.85258000",“first staycay at a service apartment but definitely not going to the last!”,"The size of the room (40sqm), and the amenities in the service apartment - washer/dryer, toiletries were really nice as well, overall I really like the home feeling while being in the apartment. Location is pretty great as well - within 10 mins walk to Whampoa food market, a 24 hours Muslim food located just across the road, and various marts spilled around the area made it really convenient to buy anything that you want as well. The gym (located at level 2) isn’t very big but sufficient enough for me to have a workout session. Didn’t use the swimming pool but I see some families and kids using the pool and having a great time! Really appreciative of the really good and friendly service of the staff - they were kind and generous to extend for me a late checkout (2pm).","Ventilation wasn’t very good - the smell lingers throughout the apartment even though I wasn’t the one who did the cooking in the apartment, smells continued to linger even in the bedroom into the night as well; no complimentary parking for guests (unlike other hotels). No major complaints really! :)",2021-04-4T00:00:00,Singapore,13,Zhi,10.0,"Leisure trip,Solo traveller,One-Bedroom Premier,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Baiyoke Sky Hotel,"13.75427221,100.54034650",“Not what we expected. Disappointed”,No Positive,There was no hot water in the shower. There was no main light so had to open the curtains whilst getting changed but then the room next door to you could see straight in though the window. Not ideal.,2019-10-7T00:00:00,United Kingdom,8,Liam,5.0,"Leisure trip,Couple,Special Offer - Superior Double or Twin Room,Stayed 1 night,Submitted via mobile",0.0,0.0,0
The Raweekanlaya Bangkok,"13.76772203,100.50502717",Very good,Extremely peaceful. It feels like an oasis of calm in the middle of Bangkok,No Negative,2020-01-3T00:00:00,United Kingdom,4,Daniel,8.0,"Leisure trip,Couple,Mattana Premier,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Cabin & Capsule Hotel J-SHIP Osaka Namba,"34.66430800,135.49400300",“Awesome stay in J-Ship Capsule Hotel”,No Positive,No Negative,2019-11-15T00:00:00,Singapore,4,Anonymous,9.6,"Leisure trip,Family with young children,Standard Capsule Room for Male - Upper Level,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Anantara Siam Bangkok Hotel - SHA Extra Plus Certified,"13.74091709,100.54012120",“Amazing!”,"Very clean and confortable. The room was so spacious and luminous, amazing bathroom. Excellent service. One of the best hotel I’ve stayed.",No Negative,2019-11-13T00:00:00,Italy,9,Alessandro,10.0,"Leisure trip,Couple,Kasara Club Room,Stayed 4 nights,Submitted via mobile",1.0,1.0,1
"Holiday Inn Express Singapore Clarke Quay (SG Clean), an IHG Hotel","1.28890600,103.84211400",“Good hotel – good location”,Hotel is modern and clean and offers all the amenities you would expect of the chain.  Staff were always helpful.  About 10 minutes walk to nearest MRT metro station so quite handy in terms of getting around.  You can walk to Chinatown in the same time where you will find good shopping and great local food.  Would be happy to stay here again.,"Breakfast, whilst OK, did not excite and some improvements in queue management should be looked at (maybe a double-sided serving bar instead of a long queue winding out of the breakfast room).",2019-04-19T00:00:00,Australia,49,Kaylene,9.6,"Leisure trip,Couple,Standard Queen Room,Stayed 4 nights",1.0,1.0,1
"Aerotel Transit Hotel, Terminal 1","1.36198779,103.98999345",Very good,No Positive,No Negative,2021-05-7T00:00:00,Thailand,2,Sittichok,8.0,"Business trip,Solo traveller,Double Room (12 hours) with Meals,Stayed 1 night",1.0,1.0,1
Mercure Singapore Bugis (SG Clean),"1.29952300,103.85310400",Exceptional,No Positive,No Negative,2019-04-5T00:00:00,Australia,3,Hannahw1,10.0,"Leisure trip,Couple,Signature Loft Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Bangkok Marriott Marquis Queens Park - SHA Extra Plus,"13.73031302,100.56533614",Very good,Breakfast was superb,The sunbed cushions were filthy.,2020-02-4T00:00:00,United Kingdom,5,Andy,8.0,"Leisure trip,Solo traveller,Deluxe, Guest room, 1 King,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
"Holiday Inn Singapore Orchard City Centre, an IHG Hotel","1.30238998,103.84100586",Very good,No Positive,No Negative,2020-01-28T00:00:00,Sri Lanka,17,Anonymous,8.0,"Leisure trip,Family with young children,Premier Room,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
Strand Hotel (SG Clean),"1.29852860,103.84992957",“i really enjoy my stay here”,The staff are all but excellent. They always put on a smile and deal with my queries diligently. The concierge staff were also very helpful n friendly. Housekeepers are performing their job to the very best. Its definitely worth the price and will recommend more associates to put up with strand hotel in future. Koodos to all the staff.,nothing,2020-11-25T00:00:00,Singapore,18,Gabriel,10.0,"Leisure trip,Solo traveller,Staycation Packages- Deluxe Double Room,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
The Kaze 34 Hotel and Serviced Residence,"13.72369552,100.57248205",Superb,No Positive,No Negative,2019-11-24T00:00:00,India,21,Haroon,9.0,"Business trip,Solo traveller,Classic Studio,Stayed 1 night",1.0,1.0,1
"Lloyd's Inn (SG Clean, Staycation Approved)","1.29720580,103.84054740",Exceptional,No Positive,No Negative,2019-10-15T00:00:00,Thailand,10,Kanitha,10.0,"Leisure trip,Family with young children,Superior Double or Twin Room,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
Hearton Hotel Kita Umeda,"34.70985923,135.49795076",Superb,No Positive,No Negative,2019-05-6T00:00:00,Japan,3,Jocelyn,9.2,"Leisure trip,Family with young children,Double Room - Non-Smoking,Stayed 1 night,Submitted via mobile",1.0,1.0,1
"PARKROYAL COLLECTION Marina Bay, Singapore - SG Clean, Staycation Approved","1.29146546,103.85738879",Exceptional,The service,The different pricing,2022-02-24T00:00:00,Singapore,11,Diana,10.0,"Leisure trip,Family with young children,Urban Deluxe King,Stayed 1 night,Submitted via mobile",1.0,1.0,1
&AND HOSTEL HOMMACHI EAST,"34.68214100,135.51200700",Good,"The hostel is really beautiful, the staff is super nice. The room was also very good. It was very cheap so it's good for backpackers and people who plan to be out for the whole day.","There are different Wi-Fi and none of them worked on my phone and my partner's phone (iPhone and not iPhone).
We had some amenities in the room and one (with cotton) was half opened.
On the 10th floor there is a kitchen and in the evening the bins were full of trash but in the morning there was even more trash, maybe it's better to empty them more often. (but I know it's also about guests' manners)",2021-08-11T00:00:00,Poland,9,Aga,7.0,"Leisure trip,Couple,Double Room with Private Bathroom,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Furama RiverFront (SG Clean),"1.28772741,103.83590698",Superb,Friendly staff.,No Negative,2019-07-26T00:00:00,Singapore,1,Boon,9.2,"Leisure trip,Group,Deluxe Double or Twin Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Grand Park City Hall (SG Clean),"1.29235037,103.85012001",Exceptional,No Positive,No Negative,2020-02-29T00:00:00,Singapore,1,Chelsea,10.0,"Leisure trip,Couple,Premier Room,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
JW Marriott Hotel Singapore South Beach (SG Clean),"1.29456100,103.85611900",Superb,No Positive,No Negative,2022-01-5T00:00:00,Singapore,2,Stella,9.0,"Leisure trip,Family with young children,Large Family King Room with Sofa Bed,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Fraser Suites Singapore (SG Clean),"1.29352756,103.82729173",Very good,No Positive,No Negative,2020-12-18T00:00:00,Indonesia,16,Isabelle,8.0,"Business trip,Family with young children,Premier Two-Bedroom Apartment,Stayed 30 nights,Submitted via mobile",1.0,1.0,1
Grand Hyatt Singapore (SG Clean),"1.30660264,103.83301824",Very good,No Positive,No Negative,2020-11-23T00:00:00,Singapore,1,Edmund,8.0,"Leisure trip,Couple,King Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
The Key Premier Sukhumvit Bangkok by Compass Hospitality,"13.74299068,100.55525229",Exceptional,Everything great,No Negative,2019-04-20T00:00:00,Switzerland,77,Rb1389,10.0,"Leisure trip,Family with young children,Deluxe Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Craftsman Bangkok,"13.78776800,100.54498400",Exceptional,"Other than that... It was perfect! From the coolest interior to the warmth welcome. Comfy beds, Clean well design inerior environment gorgeous pool. It was a whole new experience..
And the spa deep tissue massage was awesome! The neighbourhood didn't have that dodgy kind of feeling if you want to go out at night..
Definitely have already Instagrammed this and recommend to all my friends!
Worth every penny!","There was no spoons for our coffee cups.
Its a  small issue but it shouldn't be happening at a great hotel like this. It's basic necessities but it gives a big impact to ur guest when they need it at 3am 😅",2019-04-30T00:00:00,Malaysia,1,Aida,10.0,"Business trip,People with friends,Superior Twin Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Bangkok Saran Poshtel,"13.76609211,100.49775211",Good,"Reasonable location, close enough to busy throughfare but fare enough away that you aren't disturbed by anything. Some nice places to eat close by. 
Good to have water available free of charge.","Inconsistency in regards to the approachability of staff. While they were all nice, at times had feelings that it may be an inconvenience to ask them something.",2019-04-16T00:00:00,United Kingdom,41,Rachel,7.5,"Leisure trip,Couple,Double Room with Private Bathroom,Stayed 4 nights,Submitted via mobile",1.0,1.0,1
Luk Hostel,"13.73979456,100.50794764",“I liked my time at the LUK hostel and will stay here again..”,I liked the rooftop bar and eating options.,Make bathroom urinals need to be fixed. There’s a bad smell from the men’s bathroom.,2020-02-12T00:00:00,United States,1,Montez,9.0,"Leisure trip,Solo traveller,Bed in 4-Bed Mixed Dormitory Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Chocolate box mint,"13.72575100,100.52252100",“Awesome!”,Lookig forward to book with them soon!,"Not really that i did not like, but they can add a different menu for breakfast!",2020-02-27T00:00:00,Philippines,1,Leighnor,10.0,"Leisure trip,Group,Standard Studio,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
Classique Hotel (SG Clean),"1.30939990,103.85793900",Pleasant,"Overall ok, nice place to stay",Nothing,2021-02-5T00:00:00,Singapore,3,Bala,6.0,"Couple,Standard Queen Room - no window,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Arianna Hotel - SG Clean,"1.30914203,103.85610670",Poor,No Positive,No Negative,2020-10-1T00:00:00,Singapore,8,Dennis,3.0,"People with friends,Standard Double Room,Stayed 1 night,Submitted via mobile",0.0,0.0,0
The Inn at Temple Street (Staycation Approved),"1.28315540,103.84398311","“Good location , small roo”",Good location,Facility is very dirty and bad smells.,2020-01-18T00:00:00,Thailand,6,Suphawan,4.0,"Leisure trip,Family with young children,Double  Room,Stayed 4 nights,Submitted via mobile",1.0,1.0,1
Amrise Hotel (Staycation Approved),"1.31403900,103.87784400",Good,No Positive,"No lift, bed bit thin, no aircon control",2021-12-16T00:00:00,Singapore,100,Lee,7.0,"Leisure trip,Solo traveller,Superior Double or Twin Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Ibis Bangkok Sukhumvit 4 - SHA Extra Plus,"13.73804066,100.55324793",Very good,No Positive,No Negative,2022-01-22T00:00:00,Thailand,1,Pitakrattanachote,8.0,"Business trip,People with friends,Superior Twin Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Osaka Excel Hotel Tokyu,"34.68015683,135.50024428",Exceptional,No Positive,No Negative,2019-11-12T00:00:00,United Kingdom,1,Megha,10.0,"Leisure trip,Family with young children,Superior Twin Room - Non-Smoking,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Cinnamon Residence,"13.84078394,100.56228447",Good,Staff was friendly and helpful. Location is quite and easy to find.,AC couldn't be regulated and needs to run the whole night for a decent temperature.,2020-03-11T00:00:00,Germany,183,Stefan,7.0,"Leisure trip,Couple,Deluxe Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Strand Hotel (SG Clean),"1.29852860,103.84992957",Superb,I like the bed so comfortable 😍,No Negative,2022-02-15T00:00:00,Singapore,7,Matet,9.0,"Family with young children,Day Use - Deluxe Double Room from 2pm-8pm,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Avani Sukhumvit Bangkok - SHA Extra Plus Certified,"13.70557891,100.60095010",Exceptional,No Positive,No Negative,2020-01-2T00:00:00,Thailand,1,Chanantita,10.0,"Leisure trip,Couple,Avani Skyline Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Venue Hotel - SG Clean,"1.30952817,103.90241235",Exceptional,No Positive,No Negative,2021-10-21T00:00:00,Singapore,1,Kikiparis,10.0,"Family with young children,Deluxe Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Avani Atrium Bangkok Hotel - SHA Extra Plus Certified,"13.74717007,100.57014048",Fabulous,No Positive,No Negative,2019-04-15T00:00:00,Germany,1,Anonymous,8.8,"Leisure trip,Group,Avani Premier Room,Stayed 3 nights,Submitted via mobile",1.0,0.0,1
New Siam II - SHA Certified,"13.76158250,100.49316967",“Great place to stay!”,"Very clean, comfortable bed, good restaurant, nice swimming pool.",Noisy air-conditioning.,2020-03-22T00:00:00,India,3,Mikael,8.0,"Leisure trip,Couple,Superior Double Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Centre Point Chidlom - SHA Extra Plus,"13.73889526,100.54311186",Very good,No Positive,No Negative,2019-12-25T00:00:00,Ireland,67,Billy,8.0,"Leisure trip,Couple,Deluxe Double Zensation Room,Stayed 2 nights",1.0,1.0,1
iCheck inn Residences Sathorn - SHA Exta Plus Certified,"13.70137355,100.53869158",Good,No Positive,No Negative,2021-08-10T00:00:00,Thailand,19,Varayu,7.0,"Leisure trip,Solo traveller,One-Bedroom Studio,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
ONE°15 Marina Sentosa Cove Singapore (SG Clean),"1.24575466,103.83941129",Superb,"Good getaway place, very relaxing. Will stay again.",Got a room right infront of the entrance. A little noisy.,2019-06-27T00:00:00,Malaysia,3,Law,9.2,"Leisure trip,Solo traveller,Double or Twin Room with Hill View,Stayed 1 night",1.0,1.0,1
Hotel 81 Fuji - SG Clean,"1.32228675,103.85273516",Good,No Positive,No Negative,2019-08-19T00:00:00,Canada,2,Stella,7.5,"Leisure trip,Solo traveller,Superior Double Room,Stayed 5 nights,Submitted via mobile",1.0,1.0,1
Hilton Garden Inn Singapore Serangoon,"1.30805000,103.85191000",Good,Location,The idea of having the parking attendant to open up the barrier manually. Hotel guests with vehicle should be given complimentry parking coupons to be scanned at the barrier sensor panel for easy exit rather than the hassle of having the attendant to operate the barrier manually.,2019-10-22T00:00:00,Singapore,5,Kyrdn,7.5,"Leisure trip,Solo traveller,Deluxe King Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
HOTEL UNIZO Osaka Yodoyabashi,"34.68986499,135.50008044",Good,Excellent location!,Small rooms...,2019-10-19T00:00:00,Greece,3,Maria,7.5,"Business trip,Group,Single Room - Non-Smoking,Stayed 5 nights",1.0,1.0,1
Mercure Bangkok Siam - SHA Extra Plus,"13.74681574,100.52892566",Very good,No Positive,No Negative,2020-11-1T00:00:00,Thailand,2,K,8.0,"Couple,Superior Queen Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Centre Point Sukhumvit 10 - SHA Extra Plus,"13.73493492,100.55719078",Superb,No Positive,No Negative,2020-02-23T00:00:00,Thailand,1,Anonymous,9.0,"Leisure trip,People with friends,Deluxe Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Hotel Boss - SG Clean,"1.30540901,103.86040097",Exceptional,Everything was good,No Negative,2019-05-27T00:00:00,Nepal,29,Surendra,10.0,"Business trip,People with friends,Superior Double Room,Stayed 5 nights,Submitted via mobile",1.0,1.0,1
Roots Hostel,"34.67905805,135.49526719",Exceptional,No Positive,No Negative,2021-11-7T00:00:00,Japan,27,John,10.0,"Leisure trip,Solo traveller,Bunk Bed in 16-Bed Mixed Dormitory Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Amari Don Muang Airport Bangkok - SHA Plus,"13.92061824,100.60064793",Exceptional,"Walked through from the airport to hotel that's fantastic!!, Breakfast buffet it was amazing.",No Negative,2019-06-29T00:00:00,Australia,1,Anonymous,9.6,"Solo traveller,Deluxe Twin Room with City View,Stayed 1 night,Submitted via mobile",1.0,1.0,1
York Hotel (SG Clean),"1.30734542,103.83549929",Superb,No Positive,No Negative,2019-04-25T00:00:00,Costa Rica,8,Julian,9.2,"Leisure trip,Family with young children,Superior Double or Twin Room,Stayed 8 nights,Submitted via mobile",1.0,1.0,1
JEN Singapore Orchardgateway by Shangri-La - SG Clean,"1.30054200,103.83919200",Good,No Positive,No Negative,2020-01-4T00:00:00,United States,5,Millicent,7.0,"Leisure trip,Couple,Superior King Room with City View,Stayed 1 night",1.0,1.0,1
Centric Place Hotel,"13.75720055,100.56403041",Very good,-,No Negative,2022-01-17T00:00:00,Malaysia,2,Supreeya,8.0,"Leisure trip,Group,Superior Twin Room,Stayed 1 night",1.0,1.0,1
Strand Hotel (SG Clean),"1.29852860,103.84992957",Very good,The location is superb. It’s also clean as well,The bed is abit old and it creeks.. not that comfy,2020-10-17T00:00:00,Singapore,2,Goh,8.0,"Leisure trip,Couple,Deluxe Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Kinnon Deluxe Hostel Coworking Cafe,"13.72826150,100.52962729",“Fantastic place to stay! <3”,"The staff are so friendly! I spoke with Thida, April, Alyss and Amy whilst at my stay and they were so welcoming.",I would like to spend more time with the staff. So nice to talk with :),2019-05-29T00:00:00,United Kingdom,5,Conal,10.0,"Leisure trip,Group,Bunk Bed in Mixed Dormitory Room,Stayed 1 night",1.0,1.0,1
The Inn at Temple Street (Staycation Approved),"1.28315540,103.84398311",Very good,No Positive,No Negative,2019-10-6T00:00:00,Malaysia,3,Charlene,8.3,"Leisure trip,Couple,Double  Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Heritage Collection on Seah (SG Clean),"1.29593630,103.85489930",Exceptional,No Positive,No Negative,2021-03-22T00:00:00,Singapore,1,Quek,10.0,"Couple,Loft,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Ascott Orchard Singapore,"1.30357730,103.83730510",Good,No Positive,No Negative,2019-05-16T00:00:00,Vietnam,10,Vuong,7.9,"Leisure trip,Family with young children,Executive Studio,Stayed 5 nights,Submitted via mobile",1.0,1.0,1
Tower Club at lebua - SHA Extra Plus,"13.72196954,100.51703811",Pleasant,I always love the breakfasts there one of the best for sure,This place is going downhill fast. When you book tower club I’ve always been able to go in the lounge now when we got there this isn’t the case you have to pay to upgrade into it. I’ve stayed here over ten times in the last 8 years but I honestly think it will be the last. My last thing on this place is the pink bar they have opened to get to the top and literally be pushed into another lift rather than go to the booking we had at scirocco was very annoying. If people want to go somewhere you offer them the choice not force them. It’s the same with the champagne allow people to look not forced to feel like they have to buy. It’s just bad manners,2019-11-10T00:00:00,United Kingdom,8,Julie,6.3,"Leisure trip,People with friends,Tower Club City View with Breakfast,Stayed 5 nights,Submitted via mobile",1.0,1.0,1
HOTEL RELIEF Namba Daikokuchou,"34.65941565,135.49803705",Fabulous,No Positive,No Negative,2020-02-25T00:00:00,Thailand,1,Pawarisa,8.8,"Leisure trip,Solo traveller,Single Room - Non-Smoking,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Hotel Boss - SG Clean,"1.30540901,103.86040097",Exceptional,Everything else was good,All was good but there wasn’t netflix and the tv gave some issues,2019-12-25T00:00:00,Singapore,7,Arshad,10.0,"Leisure trip,Couple,Superior Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Carlton Hotel Singapore (SG Clean),"1.29579613,103.85227650",“overall we had a great time at the hotel”,the staff and the location was great,"it was not cater to locals and Muslim guest needs 
such as Halal food and bidet
it will be perfect for my family if there was a choice for halal cuisine especially breakfast",2021-12-21T00:00:00,Singapore,4,Saad,8.0,"Leisure trip,Family with young children,Premier Double Room with Free Wifi,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
BED STATION Hostel Khaosan,"13.76042000,100.49802600",Exceptional,Jo Jo Jo! The main man was amazing and makes you feel extremely welcome. Everything was perfect. Highly recommended!,You would honestly have to go looking for issues. Great hostel!,2019-08-22T00:00:00,Ireland,1,Graeme,10.0,"Leisure trip,Solo traveller,Bed in 12-Bed Mixed Dormitory Room,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
Centurion Hotel CEN Osaka Namba,"34.66454400,135.49756600",Very good,"Location , service and accomadation",No Negative,2020-01-28T00:00:00,Australia,4,Aussie,8.0,"Leisure trip,Family with young children,Two Adjacent Double Rooms - Non-Smoking,Stayed 4 nights,Submitted via mobile",1.0,1.0,1
Marina Bay Sands (SG Clean),"1.28397326,103.86081934",“It was amazing!”,"Everything is amazing and i felt like i was in vegas. The hotel has a great location and is close the gardens. Very nice view from the room (recommended harbor view) and nice view from the pool.",Pool is overrated and the service is not that good.,2019-05-23T00:00:00,Oman,14,Toufic,10.0,"Leisure trip,Couple,Deluxe King Harbor View Room,Stayed 1 night",1.0,1.0,1
Spacepod@com,"1.31116200,103.87292600",“Clean and comfort”,Easy access from the airport. Comfortable and really value for money. Check process also very easy using the code. I like to stay here and will come back once I have another long hours transit time in Singapore.,Nothing,2020-01-18T00:00:00,Indonesia,30,Liza,10.0,"Leisure trip,Solo traveller,Superior Space Pod,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Arton Boutique Hotel (SG Clean),"1.31231157,103.86104465",“Nice Environment”,Nice Place To Stay,NONE,2021-12-5T00:00:00,Singapore,2,Goh,10.0,"Leisure trip,Couple,Superior Queen Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Alt Hotel Nana by UHG - SHA Plus Extra,"13.73504435,100.55215895",Exceptional,No Positive,No Negative,2021-02-11T00:00:00,Russia,1,Sergei,10.0,"Business trip,Solo traveller,alt Superior Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Hotel Monterey Le Frere Osaka,"34.69805760,135.49958778",Very good,walking distance to Umeda underground shopping district,No Negative,2020-05-8T00:00:00,Taiwan,12,Ching,8.0,"Leisure trip,Solo traveller,Queen Room - Non-Smoking,Stayed 3 nights",1.0,1.0,1
Goodwood Park Hotel (SG Clean),"1.30870763,103.83422792",Fabulous,The room was really spacious and clean.,The breakfast spread could be better- the pancakes were hard and the soya milk had no syrup added.,2019-12-8T00:00:00,Singapore,17,Jia,8.8,"Leisure trip,Family with young children,Deluxe Premier Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
"Capri by Fraser Changi City, Singapore (SG Clean, Staycation Approved)","1.33364822,103.96417290",“Good Stays”,"- Super convenient; surrounding lots of eateries & supermarkets and MRT stations at a throwing stone. 
- Hotel provides selection of various type of pillows","- Lots of finger print marks on the wall panels
- Lots of scratches marks on the floor
- Fees for washing machine & dryer was very expensive",2021-07-27T00:00:00,Singapore,7,Yvonne,7.0,"Leisure trip,Couple,Studio Deluxe,Stayed 4 nights,Submitted via mobile",1.0,1.0,1
Sofitel Singapore Sentosa Resort & Spa (SG Clean),"1.24497272,103.82788718",“Was ok. It is not value for money.”,Location,"Not able to bring the cats. Pets are narrowed down to dogs.Both are different in habits. Cats are more in door than dogs.It is not value for money. Pool is rather generic with no additional facilities. No separate pool for children. Everyone is there",2022-02-5T00:00:00,Singapore,1,Suzanah,7.0,"Leisure trip,Family with young children,LUXURY ROOM, 2 Single Size Beds,Stayed 2 nights",1.0,1.0,1
Spacy BKK,"13.68828335,100.60918382",Superb,The hotel location is just next to the train station which make it easy for you to go around Bangkok. The staff are nice and helpful. Room is always clean and got everything you need. Highly recommend for those who need a comfortable place to stay in the friendly prices.,"Because the hotel is very close to the roads ,in the night you can hear the cars quite loud. But it is acceptable because somehow you just get used to it.",2020-07-21T00:00:00,Thailand,1,Savarinthira,9.0,"Leisure trip,Couple,Standard Double Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
S30,"13.72752473,100.57292461","“Good stay, great staff, good location.”",Best Value.,Have Cockroach.,2021-03-4T00:00:00,Thailand,13,Jarvey,8.0,"Business trip,People with friends,Superior Twin Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Sawasdee Hotel @ Sukhumvit Soi 8,"13.73600578,100.55582821",Exceptional,No Positive,No Negative,2020-03-12T00:00:00,United Kingdom,17,John,10.0,"Leisure trip,Solo traveller,Superior Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
iCheck inn Residences Sukhumvit 20,"13.72941638,100.56276441",Pleasant,No Positive,No Negative,2019-11-15T00:00:00,Bangladesh,2,Rafeed,6.3,"Leisure trip,Couple,Deluxe Suite,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Norn Yaowarat Hotel,"13.74088005,100.51108818",Exceptional,Everything was great especially the nice staff and security guard. We really enjoyed our stay and will come back next time!,No Negative,2019-06-8T00:00:00,Vietnam,10,May,10.0,"Leisure trip,People with friends,Bunk Bed in Female Dormitory Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
